id,type,nr,date,url
128,wintibrief,121,2025-10-21,https://mailchi.mp/wnti/ein-sneak-peak-in-die-jungkunst-0hbdqz01bj
129,wintibrief,122,2025-10-22,https://mailchi.mp/wnti/quatschende-erdmnnchen-und-unerforschte-planeten-oe3d4yqnk5
130,wintibrief,123,2025-10-23,https://mailchi.mp/wnti/sekschlerin-patrizia-lanciert-petition-fr-busverbindung
131,wintibrief,124,2025-10-24,https://mailchi.mp/wnti/chopfab-braut-in-winti-nur-noch-spezialittenbiere
132,wintibrief,125,2025-10-27,https://mailchi.mp/wnti/wenn-das-velo-zum-schlger-wird
133,wintibrief,126,2025-10-28,https://mailchi.mp/wnti/nchster-halt-casino-in-der-lokstadt
134,wintibrief,127,2025-10-29,https://mailchi.mp/wnti/humor-zu-produzieren-ist-knochenarbeit
135,wintibrief,128,2025-10-30,https://mailchi.mp/wnti/pilzboom-zwischen-trend-und-tradition
136,wintibrief,129,2025-10-31,https://mailchi.mp/wnti/ici-cest-winti-wie-sicher-sind-die-winterthurer-museen-nai3lfr0lc
137,wintibrief,130,2025-11-03,https://mailchi.mp/wnti/wie-viel-zukunft-steckt-in-den-kurzfilmtagen
138,wintibrief,131,2025-11-04,https://mailchi.mp/wnti/lebensqualitt-wie-steht-winterthur-im-vergleich-da-wxl221ihsm
139,wintibrief,132,2025-11-05,https://mailchi.mp/wnti/startup-nights-energydrink-trifft-auf-ki-generierten-lebenscoach
140,wintibrief,133,2025-11-06,https://mailchi.mp/wnti/hans-peter-brtschi-ein-rebell-und-bewahrer
141,wintibrief,134,2025-11-07,https://mailchi.mp/wnti/tempo-30-soll-der-kanton-das-steuer-bernehmen
142,wintibrief,135,2025-11-10,https://mailchi.mp/wnti/digitale-integritt-ein-update-fr-die-kantonsverfassung
143,wintibrief,136,2025-11-11,https://mailchi.mp/wnti/wie-viel-altgriechisch-braucht-es-noch-in-zrcher-gymis
144,parlamentsbrief,7,2025-11-11,https://mailchi.mp/wnti/parlamentsbrief-millionen-fr-schulen-alterszentren-und-quartiertreff
145,wintibrief,137,2025-11-12,https://mailchi.mp/wnti/schattenseiten-der-beschrnkten-haftung-7jmvkvisaf
146,wintibrief,138,2025-11-13,https://mailchi.mp/wnti/ein-haus-voller-airbnbs-in-veltheim-45mxsytxpx
147,wintibrief,139,2025-11-14,https://mailchi.mp/wnti/mehr-als-glitzer-und-klischee
148,wintibrief,140,2025-11-17,https://mailchi.mp/wnti/winterthurerin-tanzt-gegen-das-schweigen
149,wintibrief,141,2025-11-18,https://mailchi.mp/wnti/zwischen-familie-und-finanzielle-zwnge-fnf-frauen-erzhlen
150,wintibrief,142,2025-11-19,https://mailchi.mp/wnti/gymnasien-stellen-sich-den-grossen-sorgen-der-grossen-kinder
151,wintibrief,143,2025-11-20,https://mailchi.mp/wnti/kurioses-aus-dem-bauteillager-9onln7t7wl
152,wintibrief,144,2025-11-21,https://mailchi.mp/wnti/neun-politische-rezepte-fr-mehr-wohnraum-r9n420frxz
153,wintibrief,145,2025-11-24,https://mailchi.mp/wnti/sie-ist-die-beste-handball-torhterin-der-schweiz
154,wintibrief,146,2025-11-25,https://mailchi.mp/wnti/der-bahnhof-kriegt-mikrowohnungen-und-einen-velohub
155,wintibrief,147,2025-11-26,https://mailchi.mp/wnti/kaltbaden-gegen-den-winterblues
